provincia,localidad,nomarchivo,Nombre,Direccion,Telefono,Mail,Category,Website,Unnamed: 9,precio,cpm,miles,registros,url
Cadiz,Las Abiertas,Abiertas,1582,1547,1224,332,1563,817,,9.492,6,1.582,1582,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-las-abiertas-en-la-provincia-de-cadiz/
Cadiz,El Alamillo,Alamillo,344,312,202,61,332,151,,2.064,6,0.344,344,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-el-alamillo-en-la-provincia-de-cadiz/
Cadiz,Los Alburejos,Alburejos,608,592,459,122,597,314,,3.6479999999999997,6,0.608,608,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-los-alburejos-en-la-provincia-de-cadiz/
Cadiz,Alcala De Los Gazules,AlcaDe Gazules,337,321,244,50,332,161,,2.0220000000000002,6,0.337,337,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-alcala-de-los-gazules-en-la-provincia-de-cadiz/
Castellon,Alcala De Xivert,AlcaDe Xivert,309,293,180,46,299,137,,1.854,6,0.309,309,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-alcala-de-xivert-en-la-provincia-de-castellon/
Castellon,Alcossebre,Alcossebre,686,669,516,174,677,370,,4.1160000000000005,6,0.686,686,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-alcossebre-en-la-provincia-de-castellon/
Cadiz,Algeciras,Algeciras,6131,5911,4875,1628,5967,3467,,36.786,6,6.131,6131,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-algeciras-en-la-provincia-de-cadiz/
Cadiz,Algodonales,Algodonales,364,345,264,61,356,169,,2.184,6,0.364,364,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-algodonales-en-la-provincia-de-cadiz/
Cadiz,El Almarchal,Almarchal,559,543,409,137,550,291,,3.354,6,0.559,559,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-el-almarchal-en-la-provincia-de-cadiz/
Castellon,Almassora - Almazora,Almassora - Almazora,1781,1766,1440,483,1726,1062,,10.686,6,1.781,1781,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-almazora-en-la-provincia-de-castellon/
