provincia,localidad,Nombre,Direccion,Telefono,Mail,Category,Website,Unnamed: 8,precio,cpm,miles,registros,url,Unnamed: 14
A Coruña,A Aldea De Arriba (Santa Marta De Babio - Bergondo),497,488,425,185,468,335,,2.982,6.0,0.497,497.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-a-aldea-de-arriba-en-la-provincia-de-a-coruna/,
A Coruña,A Barcala Cambre),315,313,264,78,293,157,,1.8900000000000001,6.0,0.315,315.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-a-barcala-en-la-provincia-de-a-coruna/,
A Coruña,"A Brea,  (Carballo)",746,739,595,116,732,309,,4.476,6.0,0.746,746.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-a-brea-en-la-provincia-de-a-coruna/,
A Coruña,A Coruña - La Coruña,12763,12639,10696,3709,12401,8066,,63.815,5.0,12.763,12763.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-la-coruna-en-la-provincia-de-a-coruna/,
A Coruña,Abegondo,360,329,209,60,331,139,,2.16,6.0,0.36,360.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-abegondo-en-la-provincia-de-a-coruna/,
A Coruña,Acea Da Ma (Fonteculler),638,625,526,145,620,366,,3.8280000000000003,6.0,0.638,638.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-acea-da-ma-en-la-provincia-de-a-coruna/,
A Coruña,Acea De Ama (O Burgo),608,603,503,158,588,335,,3.6479999999999997,6.0,0.608,608.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-acea-de-ama-en-la-provincia-de-a-coruna/,
A Coruña,Aeropuerto De Alvedro,373,368,325,129,361,276,,2.238,6.0,0.373,373.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-aeropuerto-de-alvedro-en-la-provincia-de-a-coruna/,
A Coruña,Agoso (Santa Baia De Oza - Teo),461,432,345,134,430,270,,2.766,6.0,0.461,461.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-agoso-en-la-provincia-de-a-coruna/,
A Coruña,Agras (Nosa Señora Dos Desamparados De Xubia - Naron),368,363,290,66,353,163,,2.208,6.0,0.368,368.0,https://gsas.es/producto/base-de-datos-de-empresas-de-la-localidad-de-agras-en-la-provincia-de-a-coruna/,
